# Curated MVP palette ("mvp-v1"), a subset of Rebrickable's colors.csv.
# Columns: name,ldraw,bricklink,rebrickable,rgb
# rgb is the canonical sRGB hex used for perceptual (CIELAB) quantization.
# Regenerate IDs from the full Rebrickable colors.csv before adding colors;
# never hand-edit numeric IDs (see DATA_CONTRACTS.md sec.6).
name,ldraw,bricklink,rebrickable,rgb
Black,0,11,0,05131D
White,15,1,15,FFFFFF
Light Bluish Gray,71,86,71,A0A5A9
Dark Bluish Gray,72,85,72,6C6E68
Bright Red,4,5,4,C91A09
Bright Blue,1,7,1,0055BF
Bright Yellow,14,3,14,F2CD37
Bright Green,2,6,2,237841
Dark Orange,484,120,484,A95500
Reddish Brown,70,88,70,582A12
Bright Orange,25,4,25,FE8A18
Medium Azure,322,156,322,36AEBF
Bright Pink,29,104,104,FC97AC
Tan,19,2,19,E4CD9E
